Position Holder,Issuer,ISIN,Position Date,Net Short Position (%),Reporting Date,Cancellation Date
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-12,0.69,2025-05-13,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-11,0.7,2025-03-12,
"D. E. Shaw & Co., L.P.",IMMOFINANZ AG,AT0000A21KS2,2024-10-03,0.5,2025-03-14,
Gladstone Capital Management LLP,Österreichische Post Aktiengesellschaft,AT0000APOST4,2023-05-23,0.58,2023-05-24,
LMR Partners LLP,DO & CO Aktiengesellschaft,AT0000818802,2023-01-30,0.69,2023-01-31,
Marble Bar Asset Management LLP,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2025-05-14,0.69,2025-05-15,
Marshall Wace LLP,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-30,0.8,2025-05-01,
Qube Research and Technologies,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,AT0000969985,2024-11-19,0.81,2024-11-20,
Qube Research and Technologies,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-11-12,0.8,2024-11-13,
STURGEON VENTURES,Zumtobel Group AG,AT0000837307,2018-06-26,0.59,2018-06-27,
SYQUANT CAPITAL,IMMOFINANZ AG,AT0000A21KS2,2021-12-30,0.73,2021-12-31,
TFG Asset Management UK LLP,IMMOFINANZ AG,AT0000A21KS2,2022-01-18,0.54,2022-01-19,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-05-12,0.69,2025-05-13,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-28,0.7,2025-04-29,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-25,0.69,2025-04-28,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-04-09,0.71,2025-04-10,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-21,0.68,2025-03-24,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2025-03-11,0.7,2025-03-12,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2024-12-27,0.64,2024-12-30,
ActusRayPartners Limited,SCHOELLER-BLECKMANN OILFIELD EQUIPMENT Aktiengesellschaft,AT0000946652,2024-12-13,0.5,2024-12-16,
AEW Global Advisors (Europe) Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-06,0.49,2024-09-06,
AEW Global Advisors (Europe) Limited,CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-09-05,0.59,2024-09-05,
"AEW Global Advisors Europe, ltd",CA Immobilien Anlagen Aktiengesellschaft,AT0000641352,2024-03-25,0.63,2024-03-25,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-28,0.49,2022-09-29,
AKO Capital LLP,Andritz AG,AT0000730007,2022-09-07,0.59,2022-09-08,
