Position holder - Positionsholder,Position holder business ID - Positionsholder CVR-nr.,ISIN - ISIN,Issuer - Udsteder,Net short position (%) - Kort nettoposition (%),Position date - Positionsdato
Arrowstreet Capital Limited Partnership,US 043472863,DK0060055861,ChemoMetec A/S,0.59,31-07-2024
"Two Sigma Investments, LP",US-3402219,GB00BMXNWH07,Noble Corporation Plc,0.5,10-09-2024
Arrowstreet Capital Limited Partnership,US 043472863,GB00BMXNWH07,Noble Corporation Plc,2.02,09-10-2024
"AQR Capital Management, LLC",US-2853110,DK0060094928,Ørsted A/S,0.5,31-01-2025
Arrowstreet Capital Limited Partnership,US 043472863,DK0060257814,Zealand Pharma A/S,0.72,01-04-2025
Millennium International Management LP,US-DE-2824721 8300,DK0062616637,Svitzer Group A/S,0.62,07-04-2025
AKO Capital LLP,GBOC312612,DK0060542181,ISS A/S,1.12,07-04-2025
Kintbury Capital LLP,UK-OC394770,DK0061539921,Vestas Wind Systems A/S,0.5,08-04-2025
J.P. Morgan Asset Management (UK) Limited,UK-1161446,DK0060655629,DFDS A/S,0.75,09-04-2025
Brummer Multi-Strategy AB,556704-9167,DK0060055861,ChemoMetec A/S,0.74,10-04-2025
"AQR Capital Management, LLC",US-2853110,DK0060448595,Coloplast A/S,0.5,14-04-2025
Fosse Capital Partners LLP,UK-OC424225,DK0060952919,Netcompany Group A/S,1.5,16-04-2025
KGH Ltd,177474,DK0060094928,Ørsted A/S,0.5,25-04-2025
Greenvale Capital LLP,OC398679,DK0010244508,A.P. Møller - Mærsk A/S,0.56,28-04-2025
Marshall Wace LLP,GB-OC302228,DK0060257814,Zealand Pharma A/S,0.7,28-04-2025
"D. E. Shaw & Co., L.P.",US-2319889,DK0062616637,Svitzer Group A/S,0.69,28-04-2025
ActusRayPartners Limited,HK-2885304,DK0060497295,Matas A/S,0.6,28-04-2025
AKO Capital LLP,GBOC312612,DK0010272632,GN Store Nord A/S,0.95,01-05-2025
BlackRock Investment Management (UK) Limited,GB-2020394,DK0010272632,GN Store Nord A/S,0.82,01-05-2025
Wellington Management International Limited,UK-4283513,DK0060055861,ChemoMetec A/S,0.6,02-05-2025
Kintbury Capital LLP,UK-OC394770,DK0060542181,ISS A/S,0.79,02-05-2025
Marshall Wace LLP,GB-OC302228,DK0010244508,A.P. Møller - Mærsk A/S,0.58,02-05-2025
"D. E. Shaw & Co., L.P.",US-2319889,DK0010272632,GN Store Nord A/S,0.59,05-05-2025
Gladstone Capital Management LLP,UK-OC313671,DK0010272632,GN Store Nord A/S,1.04,07-05-2025
"D. E. Shaw & Co., L.P.",US-2319889,DK0060257814,Zealand Pharma A/S,0.88,08-05-2025
Balyasny Asset Management LP,US-3468046,GB00BMXNWH07,Noble Corporation Plc,1.51,09-05-2025
Qube Research & Technologies Ltd,UK-09867306,DK0062266474,Gubra A/S,0.54,12-05-2025
Canadian Pension Plan Investment Board,CACPPBCATT,DK0060257814,Zealand Pharma A/S,0.72,13-05-2025
J.P. Morgan Asset Management (UK) Limited,UK-1161446,DK0060952919,Netcompany Group A/S,0.61,13-05-2025
Fosse Capital Partners LLP,UK-OC424225,DK0060542181,ISS A/S,0.81,13-05-2025
"Point72 Asset Management, LP",US-DE-5966268,DK0010272632,GN Store Nord A/S,0.73,13-05-2025
"AQR Capital Management, LLC",US-2853110,DK0060257814,Zealand Pharma A/S,0.61,14-05-2025
Ilex Capital Partners (UK) LLP,OC444645,DK0060252690,Pandora A/S,0.74,14-05-2025
Marshall Wace LLP,GB-OC302228,DK0010272632,GN Store Nord A/S,0.71,14-05-2025
Covalis Capital LLP,UK-OC375146,DK0061539921,Vestas Wind Systems A/S,0.55,14-05-2025
"AQR Capital Management, LLC",US-2853110,DK0010272632,GN Store Nord A/S,0.84,15-05-2025
AHL Partners LLP,UK-OC380907,DK0010272632,GN Store Nord A/S,0.89,15-05-2025
"AQR Capital Management, LLC",US-2853110,DK0060946788,Ambu A/S,0.5,15-05-2025
