Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.61,05/15/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.9,05/13/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,2.34,05/12/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.11,05/12/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.61,05/09/2025
QUBE RESEARCH & TECHNOLOGIES LIMITED,FINNAIR OYJ,FI4000567029,0.5,05/09/2025
CITADEL ADVISORS EUROPE LIMITED,ELISA OYJ,FI0009007884,0.5,05/09/2025
"AQR CAPITAL MANAGEMENT, LLC",VALMET OYJ,FI4000074984,0.5,05/09/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.59,05/08/2025
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.59,05/07/2025
VOLEON CAPITAL MANAGEMENT LP,MANDATUM OYJ,FI4000552526,0.5,05/07/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.8,05/06/2025
"CAPITAL VENTURES INTERNATIONAL, LLC.",OUTOKUMPU OYJ,FI0009002422,3.07,05/06/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.79,05/05/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,1.03,05/02/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.87,04/30/2025
"POINT72 ASSET MANAGEMENT, L.P",FORTUM OYJ,FI0009007132,0.52,04/29/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.59,04/29/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.8,04/23/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.7,04/22/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.5,04/15/2025
ACTUSRAYPARTNERS LIMITED,YIT OYJ,FI0009800643,0.5,04/08/2025
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.22,04/07/2025
MARSHALL WACE LLP,FINNAIR OYJ,FI4000567029,0.5,04/07/2025
ACADIAN ASSET MANAGEMENT LLC,NOKIAN RENKAAT OYJ,FI0009005318,1.04,04/01/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,OUTOKUMPU OYJ,FI0009002422,0.79,01/15/2025
"AQR CAPITAL MANAGEMENT, LLC",NESTE OYJ,FI0009013296,0.69,12/30/2024
"AQR CAPITAL MANAGEMENT, LLC",STORA ENSO OYJ,FI0009005961,0.51,11/14/2024
MARSHALL WACE LLP,VALMET OYJ,FI4000074984,0.82,05/14/2025
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,TIETOEVRY OYJ,FI0009000277,0.48,05/08/2025
SYSTEMATICA INVESTMENTS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,1.01,05/07/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.49,05/07/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.61,05/06/2025
MILLENNIUM INTERNATIONAL MANAGEMENT LP,FORTUM OYJ,FI0009007132,0.5,05/05/2025
VOLEON CAPITAL MANAGEMENT LP,MANDATUM OYJ,FI4000552526,0.48,05/05/2025
VOLEON CAPITAL MANAGEMENT LP,MANDATUM OYJ,FI4000552526,0.51,05/02/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.53,05/02/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.74,04/30/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.8,04/30/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.61,04/25/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.46,04/25/2025
CANADA PENSION PLAN INVESTMENT BOARD,VALMET OYJ,FI4000074984,0.49,04/24/2025
JPMORGAN ASSET MANAGEMENT (UK) LIMITED,QT GROUP OYJ,FI4000198031,0.56,04/24/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.44,04/24/2025
"POINT72 ASSET MANAGEMENT, L.P",FORTUM OYJ,FI0009007132,0.49,04/23/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/23/2025
CAPEVIEW CAPITAL LLP,QT GROUP OYJ,FI4000198031,0.25,04/23/2025
"POINT72 ASSET MANAGEMENT, L.P",FORTUM OYJ,FI0009007132,0.5,04/15/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.91,04/15/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.69,04/14/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.49,04/11/2025
VOLEON CAPITAL MANAGEMENT LP,NOKIAN RENKAAT OYJ,FI0009005318,0.7,04/11/2025
"AQR CAPITAL MANAGEMENT, LLC",METSO OYJ,FI0009014575,0.48,04/11/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.49,04/11/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.61,04/10/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.71,04/10/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.71,04/10/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.8,04/10/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.48,04/10/2025
CITADEL ADVISORS LLC,NOKIAN RENKAAT OYJ,FI0009005318,0.5,04/10/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,0.86,04/09/2025
ACTUSRAYPARTNERS LIMITED,NOKIAN RENKAAT OYJ,FI0009005318,0.6,04/09/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.57,04/09/2025
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/09/2025
"CONNOR, CLARK & LUNN INVESTMENT MANAGEMENT LTD.",NOKIAN RENKAAT OYJ,FI0009005318,0.61,04/08/2025
"POINT72 ASSET MANAGEMENT, L.P.",FORTUM OYJ,FI0009007132,0.49,04/08/2025
MARSHALL WACE LLP,ELISA OYJ,FI0009007884,0.72,04/07/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.01,04/07/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.67,04/07/2025
AKO CAPITAL LLP,NOKIA OYJ,FI0009000681,0.47,04/07/2025
MARSHALL WACE LLP,FORTUM OYJ,FI0009007132,0.55,04/07/2025
WORLDQUANT LLC (“WQ”),NOKIAN RENKAAT OYJ,FI0009005318,0.59,04/07/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.85,04/07/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.07,04/07/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.49,04/07/2025
"POINT72 ASSET MANAGEMENT, L.P.",FORTUM OYJ,FI0009007132,0.5,04/07/2025
TFG ASSET MANAGEMENT UK LLP,OUTOKUMPU OYJ,FI0009002422,0.65,04/04/2025
KINTBURY CAPITAL LLP,VALMET OYJ,FI4000074984,0.95,04/04/2025
SCULPTOR CAPITAL MANAGEMENT EUROPE LIMITED,OUTOKUMPU OYJ,FI0009002422,1.12,04/04/2025
AKO CAPITAL LLP,QT GROUP OYJ,FI4000198031,1.11,04/04/2025
MARSHALL WACE LLP,NESTE OYJ,FI0009013296,0.7,04/04/2025
MARSHALL WACE LLP,TIETOEVRY OYJ,FI0009000277,0.59,04/04/2025
AKO CAPITAL LLP,VALMET OYJ,FI4000074984,1.35,04/04/2025
AKO CAPITAL LLP,STORA ENSO OYJ,FI0009005961,0.95,04/04/2025
