Position Holder,Company,ISIN,Position (%),Date
Marshall Wace LLP,LANXESS Aktiengesellschaft,DE0005470405,1.14,2025-05-15
AHL Partners LLP,Evotec SE,DE0005664809,1.09,2025-05-15
Citadel Advisors LLC,GFT Technologies SE,DE0005800601,0.5,2025-05-15
Marshall Wace LLP,DEUTZ Aktiengesellschaft,DE0006305006,0.5,2025-05-15
"AQR Capital Management, LLC",PUMA SE,DE0006969603,0.61,2025-05-15
Millennium International Management LP,PUMA SE,DE0006969603,1.35,2025-05-15
Qube Research & Technologies Limited,PUMA SE,DE0006969603,0.5,2025-05-15
Marshall Wace LLP,Deutsche Lufthansa Aktiengesellschaft,DE0008232125,0.94,2025-05-15
"SIH Partners, LLLP",HUGO BOSS AG,DE000A1PHFF7,2.97,2025-05-15
Qube Research & Technologies Limited,JENOPTIK Aktiengesellschaft,DE000A2NB601,0.74,2025-05-15
Marshall Wace LLP,BASF SE,DE000BASF111,0.88,2025-05-15
Marshall Wace LLP,Evonik Industries AG,DE000EVNK013,0.77,2025-05-15
"D. E. Shaw & Co., L.P.",TUI AG,DE000TUAG505,1.2,2025-05-15
"Two Sigma Investments, LP",TUI AG,DE000TUAG505,0.6,2025-05-15
"AQR Capital Management, LLC",Wacker Chemie AG,DE000WCH8881,0.78,2025-05-15
Qube Research & Technologies Limited,Great Portland Estates PLC,GB00BF5H9P87,0.71,2025-05-15
"Arrowstreet Capital, Limited Partnership",Kasumigaseki Capital Co Ltd,JP3211050004,3.07,2025-05-15
Qube Research & Technologies Limited,Robosense Technology Co. Ltd,KYG7611S1075,0.78,2025-05-15
Qube Research & Technologies Limited,ANGI Homeservices Inc.,US00183L2016,1.15,2025-05-15
Qube Research & Technologies Limited,"B. Riley Financial, Inc.",US05580M1080,2.79,2025-05-15
JPMorgan Asset Management (UK) Ltd,United Internet AG,DE0005089031,0.75,2025-05-14
JPMorgan Asset Management (UK) Ltd,Elmos Semiconductor SE,DE0005677108,0.57,2025-05-14
Marshall Wace LLP,Heidelberg Materials AG,DE0006047004,0.57,2025-05-14
"WorldQuant, LLC",Aurubis AG,DE0006766504,0.61,2025-05-14
Citadel Advisors LLC,PUMA SE,DE0006969603,0.57,2025-05-14
"ExodusPoint Capital Management, LP",PUMA SE,DE0006969603,1.18,2025-05-14
Millennium Capital Partners LLP,PUMA SE,DE0006969603,0.63,2025-05-14
"PDT Partners, LLC",Gerresheimer AG,DE000A0LD6E6,0.6,2025-05-14
"D. E. Shaw & Co., L.P.",HelloFresh SE,DE000A161408,1.91,2025-05-14
"AQR Capital Management, LLC",HUGO BOSS AG,DE000A1PHFF7,0.69,2025-05-14
Citadel Advisors LLC,HUGO BOSS AG,DE000A1PHFF7,0.61,2025-05-14
Millennium International Management LP,HUGO BOSS AG,DE000A1PHFF7,1.13,2025-05-14
Marshall Wace LLP,Klöckner & Co SE,DE000KC01000,0.59,2025-05-14
JPMorgan Asset Management (UK) Ltd,thyssenkrupp nucera AG & Co. KGaA,DE000NCA0001,1.07,2025-05-14
Marshall Wace LLP,TUI AG,DE000TUAG505,1.99,2025-05-14
GLG Partners LP,SENIOR PLC,GB0007958233,1.37,2025-05-14
Marshall Wace LLP,CANCOM SE,DE0005419105,0.62,2025-05-13
"D. E. Shaw & Co., L.P.",Evotec SE,DE0005664809,0.59,2025-05-13
Marshall Wace LLP,TAG Immobilien AG,DE0008303504,1.1,2025-05-13
"D. E. Shaw & Co., L.P.",Nordex SE,DE000A0D6554,1.0,2025-05-13
AHL Partners LLP,HelloFresh SE,DE000A161408,0.78,2025-05-13
Marshall Wace LLP,HUGO BOSS AG,DE000A1PHFF7,0.66,2025-05-13
Qube Research & Technologies Limited,Bitcoin Group SE,DE000A1TNV91,0.8,2025-05-13
"D. E. Shaw & Co., L.P.",Delivery Hero SE,DE000A2E4K43,0.69,2025-05-13
Marshall Wace LLP,AUTO1 Group SE,DE000A2LQ884,0.78,2025-05-13
"BlackRock Financial Management, Inc.",K+S Aktiengesellschaft,DE000KSAG888,0.69,2025-05-13
Capital Fund Management SA,RENK Group AG,DE000RENK730,0.76,2025-05-13
Marshall Wace LLP,SAF-HOLLAND SE,DE000SAFH001,0.59,2025-05-13
"Centiva Capital, LP",Creative Media and Community Trust,US12564W1027,0.98,2025-05-13
"Arrowstreet Capital, Limited Partnership",Karyopharm Therapeutics Inc,US48576U2050,1.99,2025-05-13
Davidson Kempner Capital Management LP,Karyopharm Therapeutics Inc,US48576U2050,3.6,2025-05-13
Squarepoint Ops LLC,Karyopharm Therapeutics Inc,US48576U2050,0.5,2025-05-13
Systematica Investments Limited,Evotec SE,DE0005664809,0.59,2025-05-12
Qube Research & Technologies Limited,DEUTZ Aktiengesellschaft,DE0006305006,1.77,2025-05-12
Citadel Advisors LLC,PVA TePla AG,DE0007461006,0.78,2025-05-12
Marshall Wace LLP,Vossloh Aktiengesellschaft,DE0007667107,0.6,2025-05-12
Capital Fund Management SA,Gerresheimer AG,DE000A0LD6E6,0.8,2025-05-12
Squarepoint Ops LLC,Gerresheimer AG,DE000A0LD6E6,0.59,2025-05-12
JPMorgan Asset Management (UK) Ltd,AIXTRON SE,DE000A0WMPJ6,0.68,2025-05-12
Marshall Wace LLP,Nagarro SE,DE000A3H2200,0.5,2025-05-12
Qube Research & Technologies Limited,FD TECHNOLOGIES PUBLIC LIMITED COMPANY,GB0031477770,0.99,2025-05-12
Qube Research & Technologies Limited,Kasumigaseki Capital Co Ltd,JP3211050004,1.09,2025-05-12
Numeric Investors LLC,BITDEER TECHNOLOGIES GROUP,KYG114481008,0.88,2025-05-12
"D. E. Shaw & Co., L.P.",Redcare Pharmacy N.V.,NL0012044747,1.38,2025-05-12
JPMorgan Asset Management (UK) Ltd,Redcare Pharmacy NV,NL0012044747,0.89,2025-05-12
Walleye Capital LLC,NeoVolta Inc,US6406551068,0.79,2025-05-12
Voleon Capital Management LP,Evotec SE,DE0005664809,0.62,2025-05-09
Wellington Management International Limited,GRENKE AG,DE000A161N30,0.83,2025-05-09
Elliott Investment Management L.P.,Vonovia SE,DE000A1ML7J1,0.84,2025-05-09
Marshall Wace LLP,LEG Immobilien SE,DE000LEG1110,0.5,2025-05-09
Marshall Wace LLP,Zalando SE,DE000ZAL1111,0.97,2025-05-09
Qube Research & Technologies Limited,Astroscale Holdings Inc.,JP3119820003,0.55,2025-05-09
Qube Research & Technologies Limited,Bitdeer Technologies Holding Co,KYG114481008,1.37,2025-05-09
"Arrowstreet Capital, Limited Partnership",Comstock Inc,US2057504092,2.66,2025-05-09
"Arrowstreet Capital, Limited Partnership",NeoVolta Inc,US6406551068,0.89,2025-05-09
JPMorgan Asset Management (UK) Ltd,Fraport AG Frankfurt Airport Services Worldwide,DE0005773303,0.58,2025-05-08
Marshall Wace LLP,thyssenkrupp AG,DE0007500001,3.2,2025-05-08
Kintbury Capital LLP,Deutsche Lufthansa Aktiengesellschaft,DE0008232125,0.5,2025-05-08
"AQR Capital Management, LLC",MTU Aero Engines AG,DE000A0D9PT0,0.51,2025-05-08
High Ground Investment Management LLP,Gerresheimer AG,DE000A0LD6E6,0.64,2025-05-08
JPMorgan Asset Management (UK) Ltd,GRENKE AG,DE000A161N30,0.62,2025-05-08
"BlackRock Institutional Trust Company, National Association",TUI AG,DE000TUAG505,0.6,2025-05-08
