POSITION HOLDER,NAME OF THE ISSUER,ISIN,"NET SHORT POSITION
%","POSITION DATE
(yyyy/mm/dd)"
Millennium International Management LP,ΜΟΤΟΡ ΟΪΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ ΑΕ,GRS426003000,0.0006,2024/08/30
Millennium International Management LP,ΜΟΤΟΡ ΟΪΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ ΑΕ,GRS426003000,1.37745,2024/08/29
Millennium International Management LP,ΜΟΤΟΡ ΟΪΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ ΑΕ,GRS426003000,1.0273,2024/08/27
Millennium International Management LP,ΜΟΤΟΡ ΟΪΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ ΑΕ,GRS426003000,0.87725,2024/08/26
Millennium International Management LP,ΜΟΤΟΡ ΟΪΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ ΑΕ,GRS426003000,0.75931,2024/08/23
Millennium International Management LP,ΜΟΤΟΡ ΟΪΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ ΑΕ,GRS426003000,0.58211,2024/08/22
ΠΕΙΡΑΙΩΣ ΑΕΠΕΥ,"ΓΕΚ ΤΕΡΝΑ Α.Ε. ΣΥΜΜΕΤΟΧΩΝ, ΑΚΙΝΗΤΩΝ, ΚΑΤΑΣΚΕΥΩΝ",GRS145003000,5.8,2024/01/19
QUBE RESEARCH & TECHNOLOGIES LIMITED,NATIONAL BANK OF GREECE SA,GRS003003035,0.48,2023/12/14
QUBE RESEARCH & TECHNOLOGIES LIMITED,NATIONAL BANK OF GREECE SA,GRS003003035,0.56,2023/11/30
QUBE RESEARCH & TECHNOLOGIES LIMITED,NATIONAL BANK OF GREECE SA,GRS003003035,0.46,2023/11/22
QUBE RESEARCH & TECHNOLOGIES LIMITED,NATIONAL BANK OF GREECE SA,GRS003003035,0.52,2023/11/21
Millennium International Management LP,TERNA ENERGY SA,GRS496003005,0.0,2023/08/31
Millennium International Management LP,TERNA ENERGY SA,GRS496003005,0.94,2023/08/30
Millennium International Management LP,TERNA ENERGY SA,GRS496003005,0.75,2023/08/28
Millennium International Management LP,TERNA ENERGY SA,GRS496003005,0.61,2023/08/25
Millennium International Management LP,TERNA ENERGY SA,GRS496003005,0.51,2023/08/24
Oasis Investments II Master Fund LTD,FOLLI FOLLIE S.A.,GRS294003009,0.0,2022/12/15
Lansdowne Partners (UK) LLP,ALPHA BANK SA,GRS015003007,0.39,2022/04/04
Lansdowne Partners (UK) LLP,ALPHA BANK SA,GRS015003007,0.5,2022/02/24
Lansdowne Partners (UK) LLP,CAIRO MEZZ PLC,CY0109232112,0.43,2022/02/21
Lansdowne Partners (UK) LLP,CAIRO MEZZ PLC,CY0109232112,0.59,2022/02/17
Lansdowne Partners (UK) LLP,CAIRO MEZZ PLC,CY0109232112,0.69,2022/02/16
Lansdowne Partners (UK) LLP,ALPHA BANK SA,GRS015003007,0.58,2022/02/10
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.48,2022/02/10
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.49,2022/02/09
Lansdowne Partners (UK) LLP,ALPHA BANK SA,GRS015003007,0.69,2022/02/01
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.56,2022/02/01
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.51,2022/01/18
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.5,2022/01/10
Lansdowne Partners (UK) LLP,ALPHA BANK SA,GRS015003007,0.78,2022/01/05
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.69,2022/01/03
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.7,2021/12/21
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.69,2021/12/16
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.7,2021/12/06
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.54,2021/11/16
Lansdowne Partners (UK) LLP,EUROBANK ERGASIAS S.A.,GRS323003012,0.69,2021/11/08
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.86,2021/09/24
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,0.99,2021/09/23
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,1.1,2021/09/02
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,1.19,2021/08/24
Lansdowne Partners (UK) LLP,PUBLIC POWER CORPORATION SA,GRS434003000,1.29,2021/08/11
Millennium International Management LP,ALPHA BANK SA,GRS015003007,0.45,2021/07/19
Millennium International Management LP,ALPHA BANK SA,GRS015003007,0.52,2021/07/14
