State,DisclaimerId,PositionHolder,ISIN,Issuer,PositionDate,ShareRate
Active,329871000201802051343390002,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2018.February2.0:00:00,0.47
Active,329871000201802011451430001,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2018.January31.0:00:00,0.48
Active,329871000201801191435110001,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2018.January18.0:00:00,0.57
Active,329871000201801111358100001,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2018.January10.0:00:00,0.52
Active,329871000201801041347270003,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2018.January3.0:00:00,0.5
Active,329871000201712261025080001,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2017.December22.0:00:00,0.6
Active,329871000201712061442340001,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2017.December5.0:00:00,0.5
Active,329871000201712051241200001,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2017.December4.0:00:00,0.54
Active,329871000201711201251140001,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2017.November17.0:00:00,0.6
Active,329871000201711131343120001,"BassoCapitalManagement,L.P.",HU0000123096,RichterGedeonrészvény,2017.November13.0:00:00,0.39
Active,329871000201711101211230001,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2017.November9.0:00:00,0.54
Active,329871000201711071409450002,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2017.November6.0:00:00,0.61
Active,329871000201710261125130001,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2017.October25.0:00:00,0.46
Active,329871000201710251333130001,CQS(UK)LLP,HU0000123096,RichterGedeonrészvény,2017.October24.0:00:00,0.5
Active,329871000201710021351210001,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2017.September29.0:00:00,0.56
Active,329871000201709131137480002,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2017.September12.0:00:00,0.61
Active,329871000201706121324530001,"BassoCapitalManagement,L.P.",HU0000123096,RichterGedeonrészvény,2017.June12.0:00:00,0.54
Active,329871000201705151417470002,BNPPARIBASSA,HU0000123096,RichterGedeonrészvény,2017.May12.0:00:00,0.5
Active,329871000201605161241130001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.May15.22:00:00,0.49
Active,329871000201605131423240001,LonePineCapitalLLC,HU0000061726,OTPBankrészvény,2016.May12.22:00:00,0.3
Active,329871000201605121452310003,LonePineCapitalLLC,HU0000061726,OTPBankrészvény,2016.May11.22:00:00,0.58
Active,329871000201604221241260001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.April21.22:00:00,0.59
Active,329871000201604151221280002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.April14.22:00:00,0.66
Active,329871000201604151325250001,LansdownePartners(UK)LLP,HU0000061726,OTPBankrészvény,2016.April14.22:00:00,0.49
Active,329871000201604121200280001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.April11.22:00:00,0.79
Active,329871000201604111204210001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.April10.22:00:00,0.8
Active,329871000201603241158070001,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.March23.23:00:00,0.7
Active,329871000201603211220320002,MarshallWaceLLP,HU0000061726,OTPBankrészvény,2016.March20.23:00:00,0.64
