Notification date,Name,Issuer,ISIN,Percent of issued share capital,Position date,Comment
03/10/2025,Íslandsbanki hf.,Nova klúbburinn hf.,IS0000031045,13.0,03/07/2025,"Fer undir 0,5%"
03/07/2025,Íslandsbanki hf.,Nova klúbburinn hf.,IS0000031045,53.0,03/06/2025,
11/13/2024,Íslandsbanki hf.,Nova klúbburinn hf.,IS0000031045,42.0,11/12/2024,"Fer undir 0,5%"
11/12/2024,Íslandsbanki hf.,Nova klúbburinn hf.,IS0000031045,54.0,11/11/2024,
07/26/2024,Íslandsbanki hf.,Kaldalón,IS0000029114,0.0,07/25/2024,"Fer undir 0,5%"
07/25/2024,Íslandsbanki hf.,Kaldalón,IS0000029114,52.0,07/24/2024,
06/11/2024,Íslandsbanki hf.,Kvika banki hf.,IS0000020469,14.0,06/10/2024,"Fer undir 0,5%"
06/10/2024,Íslandsbanki hf.,Kvika banki hf.,IS0000020469,58.0,06/07/2024,
06/06/2024,Íslandsbanki hf.,Kvika banki hf.,IS0000020469,61.0,06/05/2024,
05/02/2022,Fagfjárfestasjóðurinn Algildi slhf,Vátryggingafélag Íslands hf.,IS0000007078,9.0,05/02/2022,"Fer undir 0,5%"
05/02/2022,Fagfjárfestasjóðurinn Algildi slhf,Vátryggingafélag Íslands hf.,IS0000007078,5.0,04/29/2022,
03/09/2022,Kvika eignastýring hf.,Vátryggingafélag Íslands hf.,IS0000007078,32.0,03/08/2022,"Fer undir 0,5%"
03/08/2022,Kvika eignastýring hf.,Vátryggingafélag Íslands hf.,IS0000007078,53.0,03/07/2022,
10/08/2020,Fagfjárfestasjóðurinn Algildi slhf,Reitir fasteignafélag hf,IS0000020352,31.0,10/07/2020,"Aðili fer undir 0,5%"
10/06/2020,Fagfjárfestasjóðurinn Algildi slhf,Reitir fasteignafélag hf,IS0000020352,58.0,10/05/2020,
09/29/2020,Fagfjárfestasjóðurinn Algildi slhf,Reitir fasteignafélag hf,IS0000020352,72.0,09/28/2020,
09/23/2020,Fagfjárfestasjóðurinn Algildi slhf,Reitir fasteignafélag hf,IS0000020352,53.0,09/22/2020,
09/18/2020,Fagfjárfestasjóðurinn Algildi slhf,Reitir fasteignafélag hf,IS0000020352,81.0,09/18/2020,Aðili fer yfir birtingarmörk
05/03/2018,GAMMA Capital Management hf,N1 hf.,IS0000020584,93.0,08/04/2017,Leiðrétting
05/02/2018,GAMMA Capital Management hf,N1 hf.,IS0000020584,8.0,08/03/2017,Leiðrétting
05/02/2018,GAMMA Capital Management hf,N1 hf.,IS0000020584,6.0,07/11/2017,Leiðrétting
05/02/2018,GAMMA Capital Management hf,N1 hf.,IS0000020584,72.0,07/07/2017,Leiðrétting
08/23/2017,GAMMA Capital Management hf,N1 hf.,IS0000020584,23.0,08/23/2017,"Fer undir 0,5%"
