Position Holder:,Name of the Issuer:,ISIN:,Net short position %:,Position Date:
Citadel Advisors Europe Limited,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.69%,2025-05-07
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.91%,2025-01-13
Citadel Advisors LLC,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.49%,2025-05-12
Citadel Advisors Europe Limited,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.69%,2025-05-07
Citadel Advisors LLC,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.53%,2025-05-02
BlackRock Investment Management (UK) Limited,Glanbia PLC,IE0000669501,0.47%,2025-05-02
Citadel Advisors LLC,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.60%,2025-04-30
Citadel Advisors LLC,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.50%,2025-04-25
BlackRock Investment Management (UK) Limited,Glanbia PLC,IE0000669501,0.50%,2025-04-24
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.47%,2025-04-23
Citadel Advisors Europe Limited,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.71%,2025-04-17
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.52%,2025-04-09
Citadel Advisors Europe Limited,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.61%,2025-04-09
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.48%,2025-04-08
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.50%,2025-04-07
Citadel Advisors Europe Limited,BANK OF IRELAND GROUP PLC,IE00BD1RP616,0.55%,2025-04-07
Millennium International Managememt LP,Flutter Entertainment PLC,IE00BWT6H894,0.21%,2025-03-31
Millennium International Managememt LP,CRH PLC,IE0001827041,0.16%,2025-03-31
Millennium International Managememt LP,Flutter Entertainment PLC,IE00BWT6H894,0.59%,2025-03-28
Citadel Advisors Europe Limited,Bank of Ireland Group Plc,IE00BD1RP616,0.00%,2025-03-28
Millennium International Managememt LP,Flutter Entertainment PLC,IE00BWT6H894,0.60%,2025-03-27
Citadel Advisors Europe Limited,Bank of Ireland Group Plc,IE00BD1RP616,0.50%,2025-03-26
Millennium International Managememt LP,CRH PLC,IE0001827041,0.54%,2025-03-25
Millennium International Managememt LP,Flutter Entertainment PLC,IE00BWT6H894,0.92%,2025-03-25
Millennium International Managememt LP,Flutter Entertainment PLC,IE00BWT6H894,0.64%,2025-03-20
Millennium International Managememt LP,Flutter Entertainment PLC,IE00BWT6H894,0.50%,2025-03-19
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.43%,2025-03-04
Numeric Investors LLC,IRISH RESIDENTIAL PROPERTIES REIT PUBLIC LIMITED COMPANY,IE00BJ34P519,0.49%,2025-03-03
GLG Partners LP,GLANBIA PUBLIC LIMITED COMPANY,IE0000669501,0.53%,2025-02-07
Numeric Investors LLC,IRISH RESIDENTIAL PROPERTIES REIT PUBLIC LIMITED COMPANY,IE00BJ34P519,0.50%,2025-02-04
GLG Partners LP,UNIPHAR PUBLIC LIMITED COMPANY,IE00BJ5FQX74,0.91%,2025-01-13
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.37%,2025-01-13
"WorldQuant, LLC",DALATA HOTEL GROUP PLC,IE00BJMZDW83,0.46%,2024-12-20
"WorldQuant, LLC",DALATA HOTEL GROUP PLC,IE00BJMZDW83,0.59%,2024-12-16
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.50%,2024-12-12
Wellington Management Company LLP,Bank of Ireland Group plc,IE00BD1RP616,0.49%,2024-12-04
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.60%,2024-12-03
Wellington Management Company LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2024-11-19
Wellington Management Company LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.49%,2024-11-18
Wellington Management Company LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2024-11-12
Wellington Management Company LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.49%,2024-11-11
"WorldQuant, LLC",Dalata Hotel Group PLC,IE00BJMZDW83,0.50%,2024-11-11
Wellington Management Company LLP,Bank of Ireland Group PLC,IE00BD1RP616,0.50%,2024-11-08
Mirabella Financial Services LLP,Glanbia PLC,IE0000669501,0.49%,2024-10-03
Millennium International Management LP,Bank of Ireland Group PLC,IE00BD1RP616,0.45%,2024-08-30
Millennium International Management LP,Flutter Entertainment PLC,IE00BWT6H894,0.16%,2024-08-30
