Position Holder,LEI of Position Holder,Share Issuer,LEI of Share Issuer,ISIN,Net Short Position (%),Position Date
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,A2A SPA,81560076E3944316DB24,IT0001233417,0.5,14/05/2025
CANADA PENSION PLAN INVESTMENT BOARD,70DNWEAINTGFO4DMV441,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.58,07/05/2025
Gladstone Capital Management LLP,213800B4PLJI84A5MF35,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.72,12/03/2025
Kintbury Capital LLP,213800SFSQPS3XKC4E48,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.61,02/05/2025
Pertento Partners LLP,2138003BZVO3RH643T17,AMPLIFON SPA,ZYXJDNVM2JI3VBM8G556,IT0004056880,0.51,03/03/2025
Voleon Capital Management LP,549300EJ1ZB4YYIOMD56,AVIO SPA,8156008F25C4B0E7C860,IT0005119810,0.51,14/05/2025
SAND GROVE CAPITAL MANAGEMENT LLP,549300EOZ04JQL5Q8E05,BANCA IFIS SPA,8156005420362AE59184,IT0003188064,0.8,04/03/2025
ActusRayPartners Limited,254900TFNO6U9PBDZJ82,BIESSE SPA,815600C41423BF4CC386,IT0003097257,0.92,30/04/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,BIESSE SPA,815600C41423BF4CC386,IT0003097257,0.7,15/05/2025
TAGES CAPITAL LLP,2138004SIVIT7F8A9M07,BIO-ON spa,8156001A4CBBB7B42E94,IT0005056236,1.57,08/09/2023
Think Investments LP,549300MLQMYH1DEBDY63,BIO-ON spa,8156001A4CBBB7B42E94,IT0005056236,1.02,18/08/2020
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,BPER BANCA SPA,N747OI7JINV7RUUH6190,IT0000066123,0.52,22/04/2025
Citadel Advisors Europe Limited,5493003FS3JD468P6Z37,BPER BANCA SPA,N747OI7JINV7RUUH6190,IT0000066123,0.9,13/05/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,BPER BANCA SPA,N747OI7JINV7RUUH6190,IT0000066123,0.49,15/05/2025
SAND GROVE CAPITAL MANAGEMENT LLP,549300EOZ04JQL5Q8E05,BPER BANCA SPA,N747OI7JINV7RUUH6190,IT0000066123,0.5,12/03/2025
Greenvale Capital LLP,,BRUNELLO CUCINELLI SPA,5493003CX2RZ0FOBH256,IT0004764699,0.69,15/05/2025
JPMorgan Asset Management (UK) Limited,20FULDKQMC7ZL80LYR79,CAREL INDUSTRIES SPA,815600115DA6E507AE33,IT0005331019,0.68,10/04/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,D'AMICO INTERNATIONAL SHIPPING SA,2221005IWV4R4EP4D553,LU2592315662,0.53,15/05/2025
Marshall Wace LLP,6BS8JLEICI3VGJ264L55,D'AMICO INTERNATIONAL SHIPPING SA,2221005IWV4R4EP4D553,LU2592315662,0.99,15/05/2025
"Arrowstreet Capital, Limited Partnership",LO3UDTZUG0RICVPFGQ53,DAVIDE CAMPARI-MILANO NV,213800ED5AN2J56N6Z02,NL0015435975,0.5,30/04/2025
"AQR Capital Management, LLC",549300GC5MDF1KXYMP06,DIASORIN SPA,8156002878BDF0EE4348,IT0003492391,0.5,15/05/2025
Millennium International Management LP,Q0HK1ORK3JOMOF7R6K47,DIASORIN SPA,8156002878BDF0EE4348,IT0003492391,0.79,09/05/2025
Citadel Advisors LLC,549300SHI4D0QGWI8X45,Digital Value Spa,81560096F26ACF910809,IT0005347429,0.77,13/05/2025
Voleon Capital Management LP,549300EJ1ZB4YYIOMD56,Digital Value Spa,81560096F26ACF910809,IT0005347429,0.82,14/05/2025
GSA Capital Partners LLP,213800CWAHHW6YYZII58,DoVALUE SPA,8156007AF7DB5FE05555,IT0005610958,0.5,17/02/2025
