"Position date","Change Position Date",Issuer,ISIN,"Position holder","Net short position"
08/05/2025,13/05/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,68"
08/05/2025,14/05/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,66"
02/05/2025,08/05/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,76"
30/04/2025,08/05/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,70"
28/04/2025,29/04/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,07"
24/04/2025,28/04/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,11"
23/04/2025,24/04/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,23"
17/04/2025,02/05/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,56"
16/04/2025,02/05/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,80"
11/04/2025,16/04/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,78"
09/04/2025,11/04/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,80"
07/04/2025,17/04/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,61"
07/04/2025,13/05/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS LLC","0,72"
04/04/2025,30/04/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,66"
04/04/2025,15/05/2025,MELEXIS,BE0165385973,"Numeric Investors LLC","0,70"
04/04/2025,07/04/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS LLC","0,68"
02/04/2025,07/04/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,52"
31/03/2025,04/04/2025,MELEXIS,BE0165385973,"Numeric Investors LLC","0,61"
31/03/2025,04/04/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS LLC","0,71"
28/03/2025,09/04/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,79"
28/03/2025,03/04/2025,MELEXIS,BE0165385973,"QUBE RESEARCH & TECHNOLOGIES LIMITED","0,70"
27/03/2025,23/04/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,41"
26/03/2025,08/05/2025,"LOTUS BAKERIES",BE0003604155,"AQR CAPITAL MANAGEMENT, LLC","0,50"
24/03/2025,04/04/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,70"
21/03/2025,24/03/2025,RECTICEL,BE0003656676,"SABA CAPITAL MANAGEMENT, L.P.","0,50"
20/03/2025,26/03/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,50"
20/03/2025,04/04/2025,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,51"
11/03/2025,18/03/2025,UMICORE,BE0974320526,"CLEAN ENERGY TRANSITION LLP","0,60"
10/03/2025,24/03/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,60"
10/03/2025,31/03/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS LLC","0,63"
10/03/2025,28/03/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,80"
07/03/2025,11/03/2025,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,21"
07/03/2025,11/03/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,59"
07/03/2025,11/03/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,18"
07/03/2025,07/04/2025,COFINIMMO,BE0003593044,"MARSHALL WACE LLP","0,51"
06/03/2025,07/03/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,62"
06/03/2025,10/03/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,59"
06/03/2025,07/03/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,66"
05/03/2025,06/03/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,76"
05/03/2025,07/03/2025,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,15"
05/03/2025,07/03/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","0,99"
04/03/2025,28/03/2025,MELEXIS,BE0165385973,"QUBE RESEARCH & TECHNOLOGIES LIMITED","0,62"
04/03/2025,10/03/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS LLC","0,50"
03/03/2025,31/03/2025,MELEXIS,BE0165385973,"Numeric Investors LLC","0,50"
03/03/2025,04/03/2025,MELEXIS,BE0165385973,"ADAGE CAPITAL PARTNERS, L.P.","0,54"
03/03/2025,05/03/2025,SYENSQO,BE0974464977,"MARSHALL WACE LLP","0,50"
03/03/2025,27/03/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,33"
28/02/2025,05/03/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,29"
28/02/2025,06/03/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,79"
27/02/2025,28/02/2025,WDP,BE0974349814,"Millenium International Management LP","1,31"
26/02/2025,28/02/2025,"ELIA GROUP",BE0003822393,"Millenium International Management LP","0,51"
26/02/2025,03/03/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,21"
26/02/2025,27/02/2025,WDP,BE0974349814,"Millenium International Management LP","1,26"
26/02/2025,28/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,86"
24/02/2025,05/03/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,60"
24/02/2025,26/02/2025,WDP,BE0974349814,"Millenium International Management LP","0,91"
24/02/2025,06/03/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,78"
24/02/2025,28/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,68"
24/02/2025,04/03/2025,MELEXIS,BE0165385973,"QUBE RESEARCH & TECHNOLOGIES LIMITED","0,51"
21/02/2025,24/02/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,59"
21/02/2025,24/02/2025,WDP,BE0974349814,"Millenium International Management LP","0,83"
21/02/2025,24/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,70"
20/02/2025,21/02/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,60"
20/02/2025,10/03/2025,COFINIMMO,BE0003593044,"BALYASNY ASSET MANAGEMENT L.P.","0,70"
19/02/2025,25/02/2025,PROXIMUS,BE0003810273,"MARSHALL WACE LLP","0,50"
19/02/2025,26/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,90"
19/02/2025,21/02/2025,WDP,BE0974349814,"Millenium International Management LP","0,64"
18/02/2025,26/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,14"
18/02/2025,24/02/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,85"
18/02/2025,05/03/2025,UMICORE,BE0974320526,"BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED","1,23"
17/02/2025,21/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,69"
17/02/2025,19/02/2025,WDP,BE0974349814,"Millenium International Management LP","0,52"
17/02/2025,28/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,37"
14/02/2025,20/02/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,53"
14/02/2025,19/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,89"
14/02/2025,17/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,70"
14/02/2025,17/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,41"
13/02/2025,14/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,39"
12/02/2025,14/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,65"
12/02/2025,13/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,41"
11/02/2025,14/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,91"
11/02/2025,18/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","3,02"
10/02/2025,11/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,94"
10/02/2025,11/02/2025,RECTICEL,BE0003656676,"SABA CAPITAL MANAGEMENT, L.P.","0,50"
07/02/2025,10/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,85"
06/02/2025,11/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,89"
06/02/2025,07/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,75"
06/02/2025,18/02/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,96"
06/02/2025,12/02/2025,BARCO,BE0974362940,"JP MORGAN ASSET MANAGEMENT (UK) LIMITED","0,58"
05/02/2025,06/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,55"
05/02/2025,11/02/2025,WDP,BE0974349814,"Millennium Capital (DIFC) Limited","0,51"
05/02/2025,12/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,59"
05/02/2025,26/02/2025,"ELIA GROUP",BE0003822393,"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","0,50"
05/02/2025,12/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,32"
04/02/2025,07/02/2025,COFINIMMO,BE0003593044,"Millennium Capital (DIFC) Limited","0,53"
04/02/2025,05/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,15"
04/02/2025,06/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,92"
04/02/2025,05/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,41"
03/02/2025,04/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","1,23"
31/01/2025,06/02/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","1,00"
31/01/2025,04/02/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,38"
30/01/2025,31/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,99"
30/01/2025,03/02/2025,SOLVAY,BE0003470755,"Millenium International Management LP","1,12"
29/01/2025,04/02/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,35"
29/01/2025,30/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","1,00"
28/01/2025,06/02/2025,BARCO,BE0974362940,"JP MORGAN ASSET MANAGEMENT (UK) LIMITED","0,69"
27/01/2025,11/03/2025,UMICORE,BE0974320526,"CLEAN ENERGY TRANSITION LLP","0,54"
27/01/2025,30/01/2025,SOLVAY,BE0003470755,"Millenium International Management LP","1,00"
24/01/2025,11/03/2025,"ELIA GROUP",BE0003822393,"AQR CAPITAL MANAGEMENT, LLC","0,50"
24/01/2025,05/02/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,60"
24/01/2025,29/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,27"
23/01/2025,24/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,19"
21/01/2025,29/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,91"
20/01/2025,23/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","2,00"
20/01/2025,24/01/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,50"
17/01/2025,20/02/2025,SYENSQO,BE0974464977,"MARSHALL WACE LLP","0,57"
17/01/2025,07/02/2025,COFINIMMO,BE0003593044,"MARSHALL WACE LLP","0,51"
17/01/2025,21/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,82"
16/01/2025,24/01/2025,SOLVAY,BE0003470755,"CITADEL ADVISORS EUROPE LIMITED","0,51"
16/01/2025,27/01/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,99"
16/01/2025,17/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,79"
13/01/2025,20/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,92"
13/01/2025,16/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,64"
10/01/2025,13/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,81"
10/01/2025,16/01/2025,SOLVAY,BE0003470755,"Millenium International Management LP","1,00"
09/01/2025,10/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,70"
08/01/2025,16/01/2025,COFINIMMO,BE0003593044,"MARSHALL WACE LLP","0,50"
08/01/2025,10/01/2025,WDP,BE0974349814,"MARSHALL WACE LLP","0,50"
07/01/2025,17/01/2025,SYENSQO,BE0974464977,"MARSHALL WACE LLP","0,69"
07/01/2025,09/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,52"
06/01/2025,07/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,44"
03/01/2025,06/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,32"
27/12/2024,13/01/2025,COFINIMMO,BE0003593044,"Millenium International Management LP","0,52"
24/12/2024,10/01/2025,SOLVAY,BE0003470755,"Millenium International Management LP","0,99"
23/12/2024,24/12/2024,SOLVAY,BE0003470755,"Millenium International Management LP","1,00"
20/12/2024,23/12/2024,SOLVAY,BE0003470755,"Millenium International Management LP","0,99"
20/12/2024,08/01/2025,AZELIS,BE0974400328,"MARSHALL WACE LLP","0,50"
20/12/2024,23/12/2024,COFINIMMO,BE0003593044,"Millenium International Management LP","0,50"
19/12/2024,31/01/2025,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,40"
19/12/2024,03/01/2025,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,12"
18/12/2024,07/01/2025,SYENSQO,BE0974464977,"MARSHALL WACE LLP","0,70"
17/12/2024,20/12/2024,SOLVAY,BE0003470755,"Millenium International Management LP","1,00"
16/12/2024,19/12/2024,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","1,04"
13/12/2024,19/12/2024,SOLVAY,BE0003470755,"MILLENNIUM CAPITAL PARTNERS LLP","1,30"
12/12/2024,13/12/2024,COFINIMMO,BE0003593044,"COVALIS CAPITAL LLP","0,52"
11/12/2024,16/12/2024,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","0,84"
11/12/2024,30/12/2024,COFINIMMO,BE0003593044,"MARSHALL WACE LLP","0,59"
09/12/2024,11/12/2024,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","0,72"
06/12/2024,09/12/2024,MELEXIS,BE0165385973,"POINT72 ASSET MANAGEMENT, L.P.","0,64"
05/12/2024,02/01/2025,ONTEX,BE0974276082,"MARSHALL WACE LLP","0,50"
03/12/2024,17/12/2024,SOLVAY,BE0003470755,"Millenium International Management LP","0,93"
