"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"Arrowstreet Capital, Limited Partnership";"Galapagos NV";"BE0003818359";"1.43";"2025-05-15 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.82";"2025-05-15 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Avantium N.V.";"NL0012047823";"0.61";"2025-05-15 00:00:00"
"Cubist Systematic Strategies, LLC";"Alfen N.V.";"NL0012817175";"0.74";"2025-05-15 00:00:00"
"D. E. Shaw & Co., L.P.";"Alfen N.V.";"NL0012817175";"1.93";"2025-05-15 00:00:00"
"Lazard Asset Management LLC";"Pharming Group N.V.";"NL0010391025";"0.69";"2025-05-15 00:00:00"
"Marshall Wace LLP";"Fugro N.V.";"NL00150003E1";"0.77";"2025-05-15 00:00:00"
"Marshall Wace LLP";"InPost S.A.";"LU2290522684";"0.69";"2025-05-15 00:00:00"
"Numeric Investors LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.91";"2025-05-15 00:00:00"
"WorldQuant, LLC";"Alfen N.V.";"NL0012817175";"0.65";"2025-05-15 00:00:00"
"Atalan Capital Partners, LP";"Havas N.V.";"NL0015002AH0";"0.92";"2025-05-14 00:00:00"
"BlackRock Financial Management, Inc.";"IMCD N.V.";"NL0010801007";"0.51";"2025-05-14 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"1.04";"2025-05-14 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"BE Semiconductor Industries N.V.";"NL0012866412";"0.59";"2025-05-14 00:00:00"
"Cubist Systematic Strategies, LLC";"Alfen N.V.";"NL0012817175";"0.61";"2025-05-14 00:00:00"
"D. E. Shaw & Co., L.P.";"Alfen N.V.";"NL0012817175";"1.69";"2025-05-14 00:00:00"
"JPMorgan Asset Management (UK) Ltd.";"TomTom N.V.";"NL0013332471";"1.99";"2025-05-14 00:00:00"
"Marshall Wace LLP";"InPost S.A.";"LU2290522684";"0.76";"2025-05-14 00:00:00"
"Marshall Wace LLP";"Koninklijke KPN N.V.";"NL0000009082";"0.93";"2025-05-14 00:00:00"
"Millennium International Management LP";"Alfen N.V.";"NL0012817175";"0.93";"2025-05-14 00:00:00"
"Millennium International Management LP";"Pharming Group N.V.";"NL0010391025";"2.75";"2025-05-14 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"3.08";"2025-05-14 00:00:00"
"Acadian Asset Management LLC.";"AMG Critical Materials N.V.";"NL0000888691";"1.19";"2025-05-13 00:00:00"
"Acadian Asset Management LLC.";"Basic-Fit N.V.";"NL0011872650";"0.88";"2025-05-13 00:00:00"
"Capital Fund Management S.A.";"TKH Group N.V.";"NL0000852523";"0.64";"2025-05-13 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.97";"2025-05-13 00:00:00"
"Citadel Advisors LLC";"Fugro N.V.";"NL00150003E1";"0.68";"2025-05-13 00:00:00"
"Citadel Advisors LLC";"Galapagos NV";"BE0003818359";"0.72";"2025-05-13 00:00:00"
"Citadel Advisors LLC";"OCI N.V.";"NL0010558797";"0.82";"2025-05-13 00:00:00"
"Citadel Advisors LLC";"Signify N.V.";"NL0011821392";"0.92";"2025-05-13 00:00:00"
"D. E. Shaw & Co., L.P.";"Alfen N.V.";"NL0012817175";"1.47";"2025-05-13 00:00:00"
"Marshall Wace LLP";"TKH Group N.V.";"NL0000852523";"0.84";"2025-05-13 00:00:00"
"Millennium International Management LP";"Alfen N.V.";"NL0012817175";"0.84";"2025-05-13 00:00:00"
"Numeric Investors LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.81";"2025-05-13 00:00:00"
"PDT Partners, LLC";"Alfen N.V.";"NL0012817175";"3.10";"2025-05-13 00:00:00"
"Citadel Advisors Europe Limited";"Signify N.V.";"NL0011821392";"0.52";"2025-05-12 00:00:00"
"Citadel Advisors LLC";"Signify N.V.";"NL0011821392";"0.88";"2025-05-12 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Avantium N.V.";"NL0012047823";"0.54";"2025-05-12 00:00:00"
"D. E. Shaw & Co., L.P.";"Alfen N.V.";"NL0012817175";"0.88";"2025-05-12 00:00:00"
"D. E. Shaw & Co., L.P.";"Pharming Group N.V.";"NL0010391025";"0.59";"2025-05-12 00:00:00"
"D. E. Shaw & Co., L.P.";"PostNL N.V.";"NL0009739416";"0.59";"2025-05-12 00:00:00"
