"Position holder";"Name of the issuer";"ISIN";"Net short position";"Position date"
"GLG Partners LP";"TKH Group N.V.";"NL0000852523";"0.48";"2025-05-13 00:00:00"
"Millennium International Management LP";"Fugro N.V.";"NL00150003E1";"0.48";"2025-05-13 00:00:00"
"PDT Partners, LLC";"PostNL N.V.";"NL0009739416";"0.48";"2025-05-12 00:00:00"
"Point72 Europe (London), LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.32";"2025-05-12 00:00:00"
"Spark Investment Management LLC";"Alfen N.V.";"NL0012817175";"0.47";"2025-05-12 00:00:00"
"PDT Partners, LLC";"PostNL N.V.";"NL0009739416";"0.50";"2025-05-09 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.44";"2025-05-08 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.36";"2025-05-08 00:00:00"
"Eleva Capital SAS";"Fugro N.V.";"NL00150003E1";"0.13";"2025-05-06 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.49";"2025-05-06 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.44";"2025-05-06 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.50";"2025-05-05 00:00:00"
"PDT Partners, LLC";"AMG Critical Materials N.V.";"NL0000888691";"0.79";"2025-05-05 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.49";"2025-05-02 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.55";"2025-05-02 00:00:00"
"Millennium International Management LP";"Fugro N.V.";"NL00150003E1";"0.51";"2025-05-02 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.18";"2025-04-30 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.65";"2025-04-29 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.64";"2025-04-29 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.48";"2025-04-29 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.46";"2025-04-28 00:00:00"
"Canada Pension Plan Investment Board";"Flow Traders Ltd.";"BMG3602E1084";"0.49";"2025-04-28 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.73";"2025-04-28 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.70";"2025-04-28 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Pharming Group N.V.";"NL0010391025";"0.59";"2025-04-25 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.67";"2025-04-25 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.80";"2025-04-25 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.53";"2025-04-25 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.48";"2025-04-25 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.59";"2025-04-24 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.77";"2025-04-24 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.39";"2025-04-24 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.52";"2025-04-23 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.60";"2025-04-23 00:00:00"
"AQR Capital Management, LLC";"ASR Nederland N.V.";"NL0011872643";"0.58";"2025-04-22 00:00:00"
"Arrowstreet Capital, Limited Partnership";"Alfen N.V.";"NL0012817175";"0.47";"2025-04-22 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.67";"2025-04-22 00:00:00"
"Citadel Advisors LLC";"TomTom N.V.";"NL0013332471";"0.49";"2025-04-22 00:00:00"
"Citadel Securities (Europe) Limited";"Ebusco Holding N.V.";"NL0015002AG2";"0.61";"2025-04-22 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.51";"2025-04-22 00:00:00"
"Walleye Capital LLC";"Basic-Fit N.V.";"NL0011872650";"0.48";"2025-04-22 00:00:00"
"Boldhaven Management LLP";"ARCADIS N.V.";"NL0006237562";"0.43";"2025-04-17 00:00:00"
"WorldQuant, LLC";"BE Semiconductor Industries N.V.";"NL0012866412";"0.50";"2025-04-16 00:00:00"
"Boldhaven Management LLP";"ARCADIS N.V.";"NL0006237562";"0.54";"2025-04-15 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.58";"2025-04-15 00:00:00"
"PDT Partners, LLC";"Basic-Fit N.V.";"NL0011872650";"0.48";"2025-04-15 00:00:00"
"Marshall Wace LLP";"Galapagos NV";"BE0003818359";"0.49";"2025-04-14 00:00:00"
"Qube Research & Technologies Ltd.";"Galapagos NV";"BE0003818359";"0.48";"2025-04-14 00:00:00"
"Canada Pension Plan Investment Board";"Flow Traders Ltd.";"BMG3602E1084";"0.59";"2025-04-11 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.68";"2025-04-11 00:00:00"
"Citadel Advisors LLC";"Alfen N.V.";"NL0012817175";"0.70";"2025-04-10 00:00:00"
"Citadel Advisors LLC";"ArcelorMittal S.A.";"LU1598757687";"0.47";"2025-04-10 00:00:00"
"Marshall Wace LLP";"Randstad N.V.";"NL0000379121";"0.49";"2025-04-10 00:00:00"
"Mirabella Financial Services LLP";"Signify N.V.";"NL0011821392";"0.59";"2025-04-10 00:00:00"
"Point72 Europe (London), LLP";"Koninklijke Ahold Delhaize N.V.";"NL0011794037";"0.50";"2025-04-10 00:00:00"
