LEI,ISIN,Emisor / Issuer,Tenedor de la Posición / Position holder,Fecha posición / Position date,Posición corta (%) / Net short position (%)
54930002KP75TLLLNO21,ES0125220311,"ACCIONA, S.A.","AQR Capital Management, LLC", 2024-10-28 ,0.51
54930002KP75TLLLNO21,ES0125220311,"ACCIONA, S.A.",Citadel Advisors Europe Limited, 2025-04-17 ,0.52
95980020140005582721,ES0132105018,"ACERINOX, S.A.",Marshall Wace LLP, 2025-05-14 ,0.87
95980020140005007996,ES0157097017,"ALMIRALL, S.A.",JPMorgan Asset Management (UK) Limited, 2025-02-04 ,0.52
959800MAFGMXMGJHCH48,ES0136463017,"AUDAX RENOVABLES, S.A.","D. E. Shaw & Co., L.P.", 2025-04-07 ,0.69
VWMYAEQSTOPNV0SUGU82,ES0113679I37,"BANKINTER, S.A.",Canada Pension Plan Investment Board, 2025-04-30 ,1.19
254900UPX0OEHTKB9Y44,ES0105563003,"CORPORACION ACCIONA ENERGIAS RENOVABLES, S.A.",BlackRock Investment Management (UK) Limited, 2025-05-13 ,1.43
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.",BlackRock Investment Management (UK) Limited, 2025-05-12 ,1.92
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.",Millennium International Management LP, 2025-05-15 ,0.61
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.","Point72 Asset Management, L.P.", 2025-05-09 ,0.65
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.",ELEVA CAPITAL SAS, 2025-04-04 ,0.5
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.","ExodusPoint Capital Management, LP", 2025-05-14 ,0.69
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.",Citadel Advisors Europe Limited, 2025-05-02 ,0.54
213800OU3FQKGM4M2U23,ES0130960018,"ENAGAS, S.A.","DME Capital Management, LP", 2024-02-14 ,0.91
95980020140005309084,ES0130625512,"ENCE ENERGIA Y CELULOSA, S.A.",JPMorgan Asset Management (UK) Limited, 2025-04-09 ,1.08
95980020140005026620,ES0137650018,"FLUIDRA, S.A.",Fosse Capital Partners LLP, 2025-02-17 ,0.68
95980020140005225955,ES0105130001,"GLOBAL DOMINION ACCESS, S.A.",ActusRayPartners Limited, 2025-04-08 ,0.51
959800HSSNXWRKBK4N60,ES0171996087,"GRIFOLS, S.A.","AQR Capital Management, LLC", 2025-04-15 ,0.5
959800HSSNXWRKBK4N60,ES0171996087,"GRIFOLS, S.A.",Kintbury Capital LLP, 2025-04-23 ,0.66
95980020140005936480,ES0157261019,"LABORATORIOS FARMACEUTICOS ROVI, S.A.",JPMorgan Asset Management (UK) Limited, 2025-03-18 ,0.6
959800FW4JL65YWSQ217,ES0105251005,"NEINOR HOMES, S.A.",Citadel Advisors LLC, 2025-05-09 ,0.55
95980020140005395317,ES0142090317,"OBRASCON HUARTE LAIN, S.A.",Millennium Capital Partners LLP, 2025-05-12 ,1.15
95980063R15RDF29DK13,ES0167733015,"ORYZON GENOMICS, S.A.",Voleon Capital Management LP, 2025-05-14 ,2.13
BSYCX13Y0NOTV14V9N85,ES0173516115,"REPSOL, S.A.",Elliott Investment Management LP, 2025-05-08 ,1.13
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",BlackRock Investment Management (UK) Limited, 2025-05-13 ,4.03
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",JPMorgan Asset Management (UK) Limited, 2024-11-20 ,0.67
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",Millennium International Management LP, 2025-05-13 ,0.61
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.","PDT Partners, LLC", 2025-05-13 ,0.86
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.","BlackRock Advisors, LLC", 2025-05-12 ,0.6
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",Systematica Investments Limited, 2025-03-17 ,0.98
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",Voleon Capital Management LP, 2025-05-02 ,0.99
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",Marble Bar Asset Management LLP, 2024-09-30 ,0.63
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",Walleye Capital LLC, 2025-05-12 ,0.6
959800PM2YJU406K2789,ES0165386014,"SOLARIA ENERGIA Y MEDIOAMBIENTE, S.A.",SFM Ireland Management Limited, 2024-11-04 ,0.84
95980037JECHVQDJDT59,ES0105065009,"TALGO, S.A.","Arrowstreet Capital, Limited Partnership", 2025-04-23 ,0.51
549300EEJH4FEPDBBR25,ES0178430E18,"TELEFONICA, S.A.",BlackRock Investment Management (UK) Limited, 2025-01-30 ,0.73
549300EEJH4FEPDBBR25,ES0178430E18,"TELEFONICA, S.A.",Marshall Wace LLP, 2025-05-14 ,0.71
95980020140005953746,ES0180850416,"TUBOS REUNIDOS, S.A.",GSA Capital Partners LLP, 2025-02-25 ,0.59
54930002KP75TLLLNO21,ES0125220311,"ACCIONA, S.A.",Millennium International Management LP, 2025-02-25 ,0.44
54930002KP75TLLLNO21,ES0125220311,"ACCIONA, S.A.",Millennium International Management LP, 2024-12-16 ,0.5
